saccadeOrDrift,duration,onsetIndex,offsetIndex,onsetTime,offsetTime,xStart,xEnd,yStart,yEnd,xAmplitude,yAmplitude,vectorAmplitude,direction,peakVelocity,meanVelocity,maximumExcursion
saccade,0.014583,6.000000,13.000000,0.010417,0.025000,0.034048,0.310952,0.000000,-0.005476,0.276905,-0.005476,0.276959,-1.132959,35.733379,7.605613,0.276959,
saccade,0.012500,275.000000,281.000000,0.570833,0.583333,0.225794,0.150000,0.032619,0.004762,-0.075794,-0.027857,0.080751,-159.819638,9.821721,3.108772,0.080751,
saccade,0.014583,695.000000,702.000000,1.445833,1.460417,0.133571,0.306429,0.034683,-0.015079,0.172857,-0.049762,0.179877,-16.059987,21.725219,4.525984,0.179877,
saccade,0.014583,1131.000000,1138.000000,2.354167,2.368750,0.176667,-0.017698,0.052381,-0.012460,-0.194365,-0.064841,0.204896,-161.551015,25.046895,5.249953,0.204896,
saccade,0.014583,1400.000000,1407.000000,2.914583,2.929167,-0.008175,0.214375,0.002302,0.016786,0.222550,0.014484,0.223020,3.723712,28.028898,5.211977,0.226837,
saccade,0.014583,1669.000000,1676.000000,3.475000,3.489583,0.183889,-0.005952,0.038095,0.005714,-0.189841,-0.032381,0.192583,-170.320296,23.994225,4.602443,0.195468,
saccade,0.025000,1906.000000,1918.000000,3.968750,3.993750,0.076190,0.299921,0.028571,-0.001905,0.223730,-0.030476,0.225796,-7.757003,14.223688,4.194460,0.225796,
saccade,0.016667,2239.000000,2247.000000,4.662500,4.679167,0.234683,0.029841,0.040000,0.005000,-0.204841,-0.035000,0.207810,-170.303848,17.977421,4.802917,0.207810,
saccade,0.016667,2608.000000,2616.000000,5.431250,5.447917,0.043968,-0.149246,0.081667,0.017452,-0.193214,-0.064214,0.203606,-161.615902,22.776078,4.879145,0.206426,
saccade,0.010417,2801.000000,2806.000000,5.833333,5.843750,-0.101167,-0.152643,0.038810,0.043603,-0.051476,0.004794,0.051699,174.679752,10.366312,2.118288,0.055145,
saccade,0.027083,2869.000000,2882.000000,5.975000,6.002083,-0.152659,0.146062,0.017183,-0.059107,0.298720,-0.076290,0.308308,-14.326445,22.010826,5.025756,0.308308,
saccade,0.012500,3282.000000,3288.000000,6.835417,6.847917,0.145714,0.229365,0.016190,0.005000,0.083651,-0.011190,0.084396,-7.619567,8.847819,2.986334,0.084396,
saccade,0.025000,3642.000000,3654.000000,7.585417,7.610417,0.203571,0.013095,0.060476,0.002540,-0.190476,-0.057937,0.199092,-163.081987,15.203103,3.717207,0.199092,
saccade,0.022917,4117.000000,4128.000000,8.575000,8.597917,0.190873,-0.020417,0.082222,0.058585,-0.211290,-0.023638,0.212608,-173.616703,17.362072,4.579916,0.216461,
saccade,0.014583,4145.000000,4152.000000,8.633333,8.647917,-0.004901,-0.082942,0.063988,0.068095,-0.078041,0.004107,0.078149,176.987431,9.283248,2.210335,0.078803,
saccade,0.010417,4305.000000,4310.000000,8.966667,8.977083,-0.076929,-0.024902,0.092318,0.081032,0.052027,-0.011286,0.053237,-12.239424,6.486107,3.052536,0.053237,
saccade,0.012500,4585.000000,4591.000000,9.550000,9.562500,0.179405,0.244127,0.104583,0.106250,0.064722,0.001667,0.064744,1.475102,9.258074,1.491572,0.065775,
saccade,0.018750,4753.000000,4762.000000,9.900000,9.918750,0.201578,0.206573,0.122381,0.037886,0.004994,-0.084495,0.084642,-86.617256,7.118256,2.044758,0.084642,
drift,0.010417,1.000000,6.000000,0.000000,0.010417,-0.003730,0.034048,0.000000,0.000000,0.037778,0.000000,0.037778,0.000000,21.904762,21.904762,0.037778,
drift,0.543750,14.000000,275.000000,0.027083,0.570833,0.310952,0.225794,-0.006190,0.032619,-0.085159,0.038810,0.093585,155.499747,7.535398,7.535398,0.096661,
drift,0.860417,282.000000,695.000000,0.585417,1.445833,0.145317,0.133571,-0.003889,0.034683,-0.011746,0.038571,0.040320,106.936895,11.658543,11.658543,0.078264,
drift,0.891667,703.000000,1131.000000,1.462500,2.354167,0.305000,0.176667,-0.023333,0.052381,-0.128333,0.075714,0.149004,149.460184,12.179534,12.179534,0.149004,
drift,0.543750,1139.000000,1400.000000,2.370833,2.914583,-0.019683,-0.008175,-0.014921,0.002302,0.011508,0.017222,0.020713,56.249044,14.895205,14.895205,0.052430,
drift,0.543750,1408.000000,1669.000000,2.931250,3.475000,0.212708,0.183889,0.017738,0.038095,-0.028819,0.020357,0.035284,144.763827,10.847732,10.847732,0.048248,
drift,0.477083,1677.000000,1906.000000,3.491667,3.968750,-0.005000,0.076190,0.001190,0.028571,0.081190,0.027381,0.085683,18.636339,7.116293,7.116293,0.085683,
drift,0.666667,1919.000000,2239.000000,3.995833,4.662500,0.300556,0.234683,-0.004048,0.040000,-0.065873,0.044048,0.079243,146.230355,9.630865,9.630865,0.079243,
drift,0.750000,2248.000000,2608.000000,4.681250,5.431250,0.024365,0.043968,0.005000,0.081667,0.019603,0.076667,0.079133,75.657141,11.609504,11.609504,0.102378,
drift,0.383333,2617.000000,2801.000000,5.450000,5.833333,-0.150476,-0.101167,0.016714,0.038810,0.049310,0.022095,0.054034,24.136803,9.765854,9.765854,0.077514,
drift,0.129167,2807.000000,2869.000000,5.845833,5.975000,-0.153381,-0.152659,0.044107,0.017183,0.000722,-0.026925,0.026934,-88.463474,7.610107,7.610107,0.037020,
